,id,asin,description,title,price,imUrl,brand,category1,category2,cp,profit,link
0,30,B07NDPWY2M,"Women Black ss textured tie side top. Make our tops for women the cornerstone of your wardrobe. From comfy cotton women’s T-shirts perfect for the everyday to smart blouses made for the office and long-sleeve designs for when there’s a chill in the air, we’ve got all bases covered. Plus, take your pick from pretty patterns and embellishments too – think florals, spots, stripes and embroidery. Whichever you choose, you’ll be on top form this season.",Marks & Spencer Women's Plain Regular fit Top,1999,https://images-na.ssl-images-amazon.com/images/I/71YjJqKF8gL._UL1500_.jpg,Marks & Spencer,Clothing,Women,1152,847,https://www.amazon.in/dp/B07NDPWY2M
1,439,B07JLYQMXG,"With its flattering fit and touchable texture, this round neck jumper is sure to become a firm favourite in your everyday wardrobe. You'll feel cosy and warm in this chic layering piece, given added stretch for extra comfort and shape. Ribbed trim puts the finishing touch to our textured WOMENS jumper.",Marks & Spencer Women's Pullover,2934,https://images-na.ssl-images-amazon.com/images/I/91cT2ZdeGtL._UL1500_.jpg,Marks & Spencer,Clothing,Women,1319,1615,https://www.amazon.in/dp/B07JLYQMXG
2,523,B07JHVT5WM,"With its flattering fit and touchable texture, this round neck jumper is sure to become a firm favourite in your everyday wardrobe. You'll feel cosy and warm in this chic layering piece, given added stretch for extra comfort and shape. Ribbed trim puts the finishing touch to our textured women's jumper.",Marks & Spencer Women's Pullover,1499,https://images-na.ssl-images-amazon.com/images/I/81PGTb4VY0L._UL1500_.jpg,Marks & Spencer,Clothing,Women,1257,242,https://www.amazon.in/dp/B07JHVT5WM
3,850,B07MPQTNH4,"Ocean Blue in color, this printed tunic features full sleeve, round neck and regular fit. It is crafted from polyester fabric.",Annabelle By Pantaloons Women's Floral Regular fit Top,599,https://images-na.ssl-images-amazon.com/images/I/91AiL0QLkwL._UL1500_.jpg,pantaloons,Clothing,Women,477,122,https://www.amazon.in/dp/B07MPQTNH4
4,1010,B07J3S2P1W,Ruffled sleeves round neck stripe top.,Krave Women's Striped Regular Fit Top,489,https://images-na.ssl-images-amazon.com/images/I/81qmMFqBS1L._UL1500_.jpg,Krave,Clothing,Women,360,129,https://www.amazon.in/dp/B07J3S2P1W
5,1341,B07J3KQ7JR,Flare sleeves geometric print fuschia crop top.,Krave Women's Floral Regular Fit Top,454,https://images-na.ssl-images-amazon.com/images/I/81FCLKv-v5L._UL1500_.jpg,Krave,Clothing,Women,355,99,https://www.amazon.in/dp/B07J3KQ7JR
6,1454,B07N3PSZSK,"It is perfect for day and night outing and for any occasion. Team it up with accessories for a complete look. Furthermore, it is recommended to be kept away from extreme heat, fire and corrosive liquids to avoid any form of damage.",Olliva American Crepe 3/4th Sleeve Embroidered & Designer Yellow Top for Girls & Women's,349,https://images-na.ssl-images-amazon.com/images/I/71CF6N4WBPL._UL1500_.jpg,Olliva,Clothing,Women,255,94,https://www.amazon.in/dp/B07N3PSZSK
7,1560,B07NTPHC59,"You are going to look amazing in this top! How could you not?! The cut is both comfy and flattering while the print is just what you need this Summer! This top is truly amazing! This beauty is such a gorgeous look for spring and summer! The material is lightweight and slightly textured for a breezy look, too!","TDC Women's Top Crepe Top for Women, Stylish Western Wear Top for Casual Wear, Party Wear Top for Girls",399,https://images-na.ssl-images-amazon.com/images/I/811fzMM4ppL._UL1500_.jpg,TDC,Clothing,Women,327,72,https://www.amazon.in/dp/B07NTPHC59
8,2004,B07MBPP988,"Ivory in color, this solid top features flared sleeve, round neck and regular fit. It is crafted from polyester fabric.",Annabelle By Pantaloons Women's Plain Regular fit Top,923,https://images-na.ssl-images-amazon.com/images/I/81c3HLra34L._UL1500_.jpg,pantaloons,Clothing,Women,824,99,https://www.amazon.in/dp/B07MBPP988
9,2157,B07J3Q7MC5,Stand collar half placket three fourth sleeves top.,Krave Women's Checkered Regular Fit Top,419,https://images-na.ssl-images-amazon.com/images/I/81e741GFLiL._UL1500_.jpg,Krave,Clothing,Women,206,213,https://www.amazon.in/dp/B07J3Q7MC5
10,2432,B07J3D2NST,Front overlap v neck stripe top.,Krave Women's Striped Regular Fit Top,449,https://images-na.ssl-images-amazon.com/images/I/81zPjp6ImpL._UL1500_.jpg,Krave,Clothing,Women,358,91,https://www.amazon.in/dp/B07J3D2NST
11,4322,B07NBB2VZQ,Women blue 100% linen shirt dress . Marks & spencer women's body con knee-long dress,Marks & Spencer Cotton Body con Dress,3999,https://images-na.ssl-images-amazon.com/images/I/815fzR-0V7L._UL1500_.jpg,Marks & Spencer,Clothing,Women,2191,1808,https://www.amazon.in/dp/B07NBB2VZQ
12,4398,B07H5TDW9P,19 pound casual woven dress.,Marks & Spencer Women's Shift Mini Dress,1100,https://images-na.ssl-images-amazon.com/images/I/81pFuU4cYUL._UL1500_.jpg,Marks & Spencer,Clothing,Women,639,461,https://www.amazon.in/dp/B07H5TDW9P
13,4492,B07JL2SWXC,Casual Women Long Sleeves Mini Skater Dress,Marks & Spencer Women's Skater Mini Dress,856,https://images-na.ssl-images-amazon.com/images/I/81sTbmpP9CL._UL1500_.jpg,Marks & Spencer,Clothing,Women,481,375,https://www.amazon.in/dp/B07JL2SWXC
14,4780,B07FWM2HDG,"Navy colored printed dress, featuring knee length, round neck, comfort fit and sleeveless pattern. Made from polyester fabric for maximum comfort.",Honey by Pantaloons Women's A-Line Knee-Long Dress,750,https://images-na.ssl-images-amazon.com/images/I/81l0vIxcS5L._UL1500_.jpg,pantaloons,Clothing,Women,521,229,https://www.amazon.in/dp/B07FWM2HDG
15,4781,B07CQ4VZJK,"Black colored self designed dress, featuring ankle length, 3/4th sleeves, round neck and regular fit pattern. Made from viscose lycra for maximum comfort.",Honey by Pantaloons Women's A-Line Knee-Long Dress,650,https://images-na.ssl-images-amazon.com/images/I/81NiF8P8RqL._UL1500_.jpg,pantaloons,Clothing,Women,337,313,https://www.amazon.in/dp/B07CQ4VZJK
16,5084,B07FWBSD57,"Nude pink colored printed dress, featuring a comfort fit, round neck and a sleeveless pattern. It is crafted from a polyester fabric.",Honey by Pantaloons Women's A-Line Knee-Long Dress,899,https://images-na.ssl-images-amazon.com/images/I/81EVvQjVSaL._UL1500_.jpg,pantaloons,Clothing,Women,878,21,https://www.amazon.in/dp/B07FWBSD57
